P_central,Radius_km,Mass_Msun
0.000139946,13.3525,1.65882
0.000141345,13.3387,1.66147
0.000142759,13.3248,1.66411
0.000144186,13.3109,1.66674
0.000145628,13.297,1.66936
0.000147085,13.2831,1.67196
0.000148555,13.2692,1.67455
0.000150041,13.2552,1.67714
0.000151541,13.2413,1.6797
0.000153057,13.2273,1.68226
0.000154587,13.2133,1.68481
0.000156133,13.1993,1.68734
0.000157695,13.1852,1.68986
0.000159271,13.1712,1.69237
0.000160864,13.1571,1.69487
0.000162473,13.1431,1.69736
0.000164098,13.129,1.69983
0.000165739,13.1148,1.70229
0.000167396,13.1007,1.70474
0.00016907,13.0865,1.70717
0.000170761,13.0724,1.7096
0.000172468,13.0582,1.71201
0.000174193,13.044,1.7144
0.000175935,13.0298,1.71679
0.000177694,13.0155,1.71916
0.000179471,13.0013,1.72152
0.000181266,12.987,1.72387
0.000183078,12.9728,1.7262
0.000184909,12.9585,1.72852
0.000186758,12.9442,1.73083
0.000188626,12.9298,1.73312
0.000190512,12.9155,1.7354
0.000192417,12.9012,1.73767
0.000194341,12.8868,1.73992
0.000196285,12.8724,1.74216
0.000198248,12.8581,1.74439
0.00020023,12.8437,1.74661
0.000202232,12.8293,1.74881
0.000204255,12.8149,1.75099
0.000206297,12.8004,1.75317
0.00020836,12.786,1.75532
0.000210444,12.7715,1.75747
0.000212548,12.757,1.7596
0.000214674,12.7425,1.76172
0.000216821,12.728,1.76382
0.000218989,12.7135,1.76591
0.000221179,12.699,1.76799
0.00022339,12.6845,1.77005
0.000225624,12.6699,1.7721
0.000227881,12.6554,1.77413
0.000230159,12.6416,1.77615
0.000232461,12.627,1.77816
0.000234786,12.6124,1.78015
0.000237134,12.5978,1.78213
0.000239505,12.5832,1.78409
0.0002419,12.5686,1.78604
0.000244319,12.554,1.78797
0.000246762,12.5393,1.78989
0.00024923,12.5247,1.7918
0.000251722,12.51,1.79369
